positif,dirawat,total_kasus,active_cases,risk_score,kecamatan_positif_mean,kecamatan_positif_min,kecamatan_positif_max,positif_vs_kecamatan_mean,positif_percentile,positif
1,0,1,0,-0.7778883847878548,11.428571428571429,1,28,0.0875,4.83271375464684,1
0,0,0,0,-0.818705788394502,2.8181818181818183,0,6,0.0,1.486988847583643,0
3,0,3,0,0.2171925566083699,9.666666666666666,3,17,0.3103448275862069,14.684014869888475,3
6,2,6,2,-0.553868215843852,9.125,5,18,0.6575342465753424,31.970260223048324,6
13,4,13,4,0.38417254551701224,11.428571428571429,1,28,1.1375,68.21561338289963,13
2,2,2,2,-0.7171378302704404,9.666666666666666,1,18,0.20689655172413796,9.107806691449815,2
3,2,3,2,0.23712570751913722,2.8181818181818183,0,6,1.064516129032258,14.684014869888475,3
0,0,0,0,-0.818705788394502,2.8181818181818183,0,6,0.0,1.486988847583643,0
2,2,2,2,-0.7171378302704404,2.8181818181818183,0,6,0.7096774193548386,9.107806691449815,2
1,0,1,0,-0.7778883847878548,13.428571428571429,1,30,0.07446808510638298,4.83271375464684,1
3,1,3,1,1.140605266246684,2.8181818181818183,0,6,1.064516129032258,14.684014869888475,3
5,1,5,1,-0.056584514396124476,6.625,1,30,0.7547169811320755,24.721189591078065,5
2,2,2,2,-0.7171378302704404,6.625,1,30,0.3018867924528302,9.107806691449815,2
10,7,10,7,-0.06673188388546611,13.571428571428571,1,28,0.7368421052631579,57.249070631970255,10
0,0,0,0,-0.818705788394502,0.3333333333333333,0,1,0.0,1.486988847583643,0
1,0,1,0,-0.7778883847878548,0.3333333333333333,0,1,3.0,4.83271375464684,1
0,0,0,0,-0.818705788394502,0.3333333333333333,0,1,0.0,1.486988847583643,0
0,0,0,0,-0.818705788394502,3.0,0,9,0.0,1.486988847583643,0
9,0,9,0,-0.4513491559346782,3.0,0,9,3.0,52.41635687732342,9
1,0,1,0,-0.7778883847878548,6.625,1,30,0.1509433962264151,4.83271375464684,1
3,2,3,2,-0.6763204266637933,6.125,3,12,0.4897959183673469,14.684014869888475,3
1,0,1,0,-0.7778883847878548,2.8181818181818183,0,6,0.3548387096774193,4.83271375464684,1
0,0,0,0,-0.818705788394502,3.0,0,9,0.0,1.486988847583643,0
30,340,30,340,4.251175041726832,30.0,30,30,1.0,96.6542750929368,30
30,434,30,434,5.1880331345328985,30.0,30,30,1.0,96.6542750929368,30
30,13,30,13,0.8094156409797777,16.8,2,30,1.7857142857142856,96.6542750929368,30
17,0,17,0,-0.12480992708150157,5.8,1,17,2.931034482758621,80.85501858736059,17
30,13,30,13,0.9921048678163636,16.714285714285715,8,30,1.7948717948717947,96.6542750929368,30
30,9,30,9,0.8608939525765359,25.0,15,30,1.2,96.6542750929368,30
30,10,30,10,0.5968266877770404,14.0,6,30,2.142857142857143,96.6542750929368,30
29,17,29,17,0.912408409636171,17.714285714285715,6,30,1.6370967741935483,92.56505576208178,29
30,10,30,10,0.9622051414502125,16.8,2,30,1.7857142857142856,96.6542750929368,30
30,12,30,12,0.9821382923609799,15.166666666666666,8,30,1.978021978021978,96.6542750929368,30
30,21,30,21,1.0718374714594332,17.714285714285715,6,30,1.693548387096774,96.6542750929368,30
25,11,25,11,0.6402022400867506,15.2,3,25,1.6447368421052633,90.33457249070632,25
18,5,18,5,0.27032239852970746,12.5,8,18,1.44,83.08550185873605,18
21,8,21,8,0.3791769007547079,13.571428571428571,1,28,1.5473684210526315,87.73234200743495,21
30,17,30,17,0.8492819428013124,25.0,15,30,1.2,96.6542750929368,30
11,2,11,2,-0.10065952485163561,7.6,0,14,1.4473684210526316,61.152416356877325,11
23,13,23,13,0.487950271352177,9.8,2,23,2.346938775510204,88.84758364312268,23
30,40,30,40,1.2612024051117234,15.285714285714286,4,30,1.9626168224299065,96.6542750929368,30
