positif,sembuh,meninggal,total_kasus,risk_score,kecamatan_positif_mean,positif_vs_kecamatan_mean,positif_percentile,sembuh_percentile,meninggal_percentile,dirawat,active_cases,positif,sembuh,meninggal
9,0,2,9,0.19748123534214357,6.125,1.469387755102041,52.41635687732342,20.817843866171003,74.53531598513011,4,4,9,0,2
5,0,0,5,-0.5747524685397318,9.8,0.5102040816326531,24.721189591078065,20.817843866171003,20.63197026022305,4,4,5,0,0
5,1,0,5,-0.6046521949058828,7.166666666666667,0.6976744186046512,24.721189591078065,55.20446096654275,20.63197026022305,1,1,5,1,0
30,1,3,30,0.9090813955336147,17.285714285714285,1.7355371900826446,96.6542750929368,55.20446096654275,86.61710037174721,23,23,30,1,3
6,0,0,6,-0.5339350649330847,6.285714285714286,0.9545454545454546,31.970260223048324,20.817843866171003,20.63197026022305,4,4,6,0,0
9,0,1,9,-0.10700080938549994,17.285714285714285,0.5206611570247934,52.41635687732342,20.817843866171003,53.71747211895911,4,4,9,0,1
4,0,0,4,-0.6255364476017625,2.8181818181818183,1.4193548387096773,19.702602230483272,20.817843866171003,20.63197026022305,3,3,4,0,0
6,1,1,6,-0.09714514875238683,12.5,0.48,31.970260223048324,55.20446096654275,53.71747211895911,2,2,6,1,1
3,0,0,3,-0.6763204266637933,6.625,0.4528301886792453,14.684014869888475,20.817843866171003,20.63197026022305,2,2,3,0,0
21,1,1,21,0.3284171995145016,15.285714285714286,1.3738317757009346,87.73234200743495,55.20446096654275,53.71747211895911,16,16,21,1,1
6,0,1,6,-0.08717857329700314,9.125,0.6575342465753424,31.970260223048324,20.817843866171003,53.71747211895911,3,3,6,0,1
2,0,0,2,-0.7171378302704404,5.666666666666667,0.3529411764705882,9.107806691449815,20.817843866171003,20.63197026022305,2,2,2,0,0
8,0,0,8,-0.4323671068090231,11.428571428571429,0.7,46.28252788104089,20.817843866171003,20.63197026022305,6,6,8,0,0
5,2,1,5,-0.056584514396124476,10.6,0.4716981132075472,24.721189591078065,76.2081784386617,53.71747211895911,1,1,5,2,1
6,0,1,6,-0.07721199784161945,7.166666666666667,0.8372093023255813,31.970260223048324,20.817843866171003,53.71747211895911,4,4,6,0,1
7,0,1,7,-0.10164074667661027,9.375,0.7466666666666667,39.405204460966544,20.817843866171003,53.71747211895911,4,4,7,0,1
0,0,0,0,-0.818705788394502,7.6,0.0,1.486988847583643,20.817843866171003,20.63197026022305,0,0,0,0,0
3,1,0,3,-0.6763204266637933,9.666666666666666,0.3103448275862069,14.684014869888475,55.20446096654275,20.63197026022305,2,2,3,1,0
5,0,1,5,-0.04661793894074079,6.285714285714286,0.7954545454545455,24.721189591078065,20.817843866171003,53.71747211895911,2,2,5,0,1
1,0,0,1,-0.7778883847878548,11.428571428571429,0.0875,4.83271375464684,20.817843866171003,20.63197026022305,0,0,1,0,0
0,0,0,0,-0.818705788394502,2.8181818181818183,0.0,1.486988847583643,20.817843866171003,20.63197026022305,0,0,0,0,0
