total_surveillance,total_surveillance,odp_completion_rate,pdp_recovery_rate,case_fatality_rate,recovery_rate,active_case_rate,suspected_to_probable_ratio,probable_to_confirmed_ratio,hospitalization_rate,severity_score,kecamatan_encoded,kecamatan_avg_cfr,kecamatan_avg_recovery,year,month,data_completeness,data_consistency_flag,id_kel,nama_kecamatan,nama_kelurahan
56,56,0.88,1.0,0.3,0.15,0.55,2.272727272727273,0.55,0.25,0.285,4,0.279,0.163,2020,5,1.0,0,3174061002,CILANDAK,LEBAK BULUS
52,52,0.9444444444444444,0.7272727272727273,0.2608695652173913,0.1304347826086956,0.6086956521739131,1.6363636363636365,0.4782608695652174,0.4782608695652174,0.3260869565217391,36,0.219,0.177,2020,5,1.0,0,3174101002,PESANGGRAHAN,BINTARO
31,31,0.9,0.6666666666666666,0.1666666666666666,0.0833333333333333,0.75,1.1111111111111112,0.75,0.1666666666666666,0.1666666666666666,19,0.118,0.047,2020,5,1.0,0,3171031003,KEMAYORAN,HARAPAN MULIA
40,40,1.0,0.8181818181818182,0.0909090909090909,0.3636363636363636,0.5454545454545454,1.6363636363636365,1.0,0.2727272727272727,0.1454545454545454,17,0.086,0.169,2020,5,1.0,0,3173051007,KEBON JERUK,KEDOYA SELATAN
35,35,1.0,1.0,0.0,0.1538461538461538,0.8461538461538461,3.4,0.3846153846153846,0.3846153846153846,0.1153846153846153,17,0.086,0.169,2020,5,1.0,0,3173051004,KEBON JERUK,KELAPA DUA
44,44,0.9333333333333332,0.4,0.1578947368421052,0.0526315789473684,0.7894736842105263,1.5,0.5263157894736842,0.2105263157894736,0.1736842105263157,24,0.1,0.089,2020,5,1.0,0,3175041004,KRAMAT JATI,BATU AMPAR
16,16,1.0,0.25,0.1428571428571428,0.5714285714285714,0.2857142857142857,1.25,0.5714285714285714,0.2857142857142857,0.1857142857142857,15,0.043,0.33,2020,5,1.0,0,3174071005,KEBAYORAN BARU,RAWA BARAT
32,32,1.0,1.0,0.1,0.05,0.85,3.0,0.15,0.35,0.175,12,0.11,0.006,2020,5,1.0,0,3175031006,JATINEGARA,CIPINANG MUARA
91,91,0.98,0.3846153846153846,0.0714285714285714,0.1071428571428571,0.8214285714285714,3.8461538461538463,0.4642857142857143,0.5,0.1999999999999999,1,0.108,0.141,2020,5,1.0,0,3175061003,CAKUNG,PENGGILINGAN
40,40,1.0,0.75,0.0714285714285714,0.0357142857142857,0.8928571428571429,0.5,0.2857142857142857,0.5714285714285714,0.2214285714285714,45,0.1,0.135,2020,5,1.0,0,3174011002,TEBET,TEBET BARAT
20,20,1.0,0.75,0.2307692307692307,0.2307692307692307,0.5384615384615384,0.75,0.3076923076923077,0.3846153846153846,0.2769230769230769,10,0.122,0.242,2020,5,1.0,0,3173021004,GROGOL PETAMBURAN,JELAMBAR
33,33,1.0,0.4444444444444444,0.2307692307692307,0.2307692307692307,0.5384615384615384,1.2222222222222223,0.6923076923076923,0.3076923076923077,0.2538461538461538,45,0.1,0.135,2020,5,1.0,0,3174011005,TEBET,BUKIT DURI
33,33,0.9166666666666666,0.8888888888888888,0.1666666666666666,0.25,0.5833333333333334,1.3333333333333333,0.75,0.3333333333333333,0.2166666666666666,40,0.168,0.223,2020,5,1.0,0,3174021003,SETIA BUDI,KARET KUNINGAN
58,58,0.8695652173913043,0.375,0.1481481481481481,0.1111111111111111,0.7407407407407407,2.875,0.2962962962962963,0.3703703703703703,0.2148148148148148,31,0.047,0.12,2020,5,1.0,0,3173071001,PALMERAH,PALMERAH
131,131,0.9852941176470588,0.78125,0.1612903225806451,0.0967741935483871,0.7419354838709677,2.125,1.032258064516129,0.4193548387096774,0.2387096774193548,2,0.118,0.097,2020,5,1.0,0,3171051002,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT
23,23,1.0,0.8,0.0769230769230769,0.0769230769230769,0.8461538461538461,1.0,0.3846153846153846,0.4615384615384615,0.1923076923076923,24,0.1,0.089,2020,5,1.0,0,3175041007,KRAMAT JATI,CAWANG
77,77,0.9615384615384616,0.7,0.1290322580645161,0.032258064516129,0.8387096774193549,1.3,0.6451612903225806,0.6129032258064516,0.2741935483870967,37,0.111,0.087,2020,5,1.0,0,3175021006,PULO GADUNG,KAYU PUTIH
51,51,1.0,0.625,0.2222222222222222,0.1111111111111111,0.6666666666666666,3.125,0.4444444444444444,0.5,0.3055555555555555,29,0.144,0.133,2020,5,1.0,0,3171061001,MENTENG,MENTENG
42,42,0.8571428571428571,0.7777777777777778,0.1052631578947368,0.1578947368421052,0.7368421052631579,1.5555555555555556,0.4736842105263157,0.3157894736842105,0.1684210526315789,34,0.138,0.082,2020,5,1.0,0,3175051004,PASAR REBO,KALISARI
29,29,1.0,0.625,0.0909090909090909,0.2727272727272727,0.6363636363636364,1.25,0.7272727272727273,0.5454545454545454,0.2272727272727272,16,0.16,0.159,2020,5,1.0,0,3174051001,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA
