positif,sembuh,meninggal,total_kasus,risk_score,kecamatan_positif_mean,positif_vs_kecamatan_mean,positif_percentile,sembuh_percentile,meninggal_percentile,dirawat,active_cases,positif,sembuh,meninggal,PC1,PC2,PC3,PC4,PC5
9,0,1,9,-0.07710108301934886,11.0,0.8181818181818182,52.41635687732342,20.817843866171003,53.71747211895911,7,7,9,0,1,-0.7065086216806371,-0.8124840253128781,-0.45783183006866973,-0.9615970955643437,-0.3738335457973652
12,0,2,12,0.16769242379826307,13.166666666666666,0.9113924050632912,64.12639405204462,20.817843866171003,74.53531598513011,4,4,12,0,2,0.2418642435828892,0.8262671818843204,-0.06707886623601766,-2.200531005002844,-0.48827550963504157
8,0,2,8,0.22281776746202378,6.625,1.2075471698113207,46.28252788104089,20.817843866171003,74.53531598513011,3,3,8,0,2,-0.4733379513660814,0.3264831859678769,-0.5468527568920157,-1.7158242253432736,-1.460942185529078
2,0,0,2,-0.7171378302704404,2.8181818181818183,0.7096774193548386,9.107806691449815,20.817843866171003,20.63197026022305,2,2,2,0,0,-3.153616877037062,-3.236590766445432,-1.019070350499343,0.5694537085964178,-0.1798188721029411
3,1,1,3,0.22715913206375357,15.2,0.19736842105263158,14.684014869888475,55.20446096654275,53.71747211895911,1,1,3,1,1,-0.6465654419555301,0.29570209800183783,1.7212566245784005,-0.5283620203053235,-0.6829993784812056
8,0,1,8,-0.08982480649042417,11.0,0.7272727272727273,46.28252788104089,20.817843866171003,53.71747211895911,6,6,8,0,1,-0.7530984833433876,-0.9946383619530057,-0.3607854250583745,-1.0369546609040399,-0.4394344177596458
8,0,0,8,-0.4323671068090231,10.6,0.7547169811320755,46.28252788104089,20.817843866171003,20.63197026022305,6,6,8,0,0,-1.4782722349734077,-1.4166417736601062,0.3431973547841608,-0.44071147992485205,0.369799917940873
10,0,0,10,-0.350732299595729,8.4,1.1904761904761905,57.249070631970255,20.817843866171003,20.63197026022305,6,6,10,0,0,-1.3542804876938206,-1.2557972032974787,-0.49027541125497187,-0.3939408928467665,0.5613839165981102
17,0,2,17,0.24741570343645122,9.666666666666666,1.7586206896551726,80.85501858736059,20.817843866171003,74.53531598513011,5,5,17,0,2,0.40956250261491456,0.6172659817455546,-1.8943816016555288,-0.8517262637262188,-0.5007146191749037
9,0,2,9,0.19748123534214357,6.125,1.469387755102041,52.41635687732342,20.817843866171003,74.53531598513011,4,4,9,0,2,-0.7988589821146754,-0.6200344024209751,-2.546385765444924,-0.8690875089853674,-0.9009908455298421
5,0,0,5,-0.5747524685397318,9.8,0.5102040816326531,24.721189591078065,20.817843866171003,20.63197026022305,4,4,5,0,0,-2.0428392510614306,-1.5204736942768642,0.8689852274415616,-1.0097873309964431,0.5120350365873151
5,1,0,5,-0.6046521949058828,7.166666666666667,0.6976744186046512,24.721189591078065,55.20446096654275,20.63197026022305,1,1,5,1,0,-1.8553964594137689,-1.9433940320440355,0.006511238365629079,1.5310521591075952,0.6893279085913668
30,1,3,30,0.9090813955336147,17.285714285714285,1.7355371900826446,96.6542750929368,55.20446096654275,86.61710037174721,23,23,30,1,3,4.3939995329711925,3.4118414684651275,-0.27748421599876627,-1.9246538271190632,1.64815164356799
6,0,0,6,-0.5339350649330847,6.285714285714286,0.9545454545454546,31.970260223048324,20.817843866171003,20.63197026022305,4,4,6,0,0,-1.967315442819663,-2.645400122263904,-1.1916727154408124,-0.05032752428511435,0.7739975122344861
9,0,1,9,-0.10700080938549994,17.285714285714285,0.5206611570247934,52.41635687732342,20.817843866171003,53.71747211895911,4,4,9,0,1,0.03526635544405185,0.9698233513120941,2.397156931063954,-2.485716697093357,-0.2968292823633951
4,0,0,4,-0.6255364476017625,2.8181818181818183,1.4193548387096773,19.702602230483272,20.817843866171003,20.63197026022305,3,3,4,0,0,-2.703556816014623,-2.8895223026504615,-1.5597460274746044,0.8103311114266919,-0.13775805261923132
6,1,1,6,-0.09714514875238683,12.5,0.48,31.970260223048324,55.20446096654275,53.71747211895911,2,2,6,1,1,-0.6474156987551305,-0.28707097928172354,0.798678077770638,0.11626046950067082,-0.4600433227929672
3,0,0,3,-0.6763204266637933,6.625,0.4528301886792453,14.684014869888475,20.817843866171003,20.63197026022305,2,2,3,0,0,-2.3282051025243864,-1.4098982067894377,1.6802449834547135,-0.9166776075885954,-0.11538514242118919
21,1,1,21,0.3284171995145016,15.285714285714286,1.3738317757009346,87.73234200743495,55.20446096654275,53.71747211895911,16,16,21,1,1,1.4796656288094234,1.9608271900014071,0.5710563308423425,-0.8306613794704749,0.6022145675235095
6,0,1,6,-0.08717857329700314,9.125,0.6575342465753424,31.970260223048324,20.817843866171003,53.71747211895911,3,3,6,0,1,-0.9296449347636379,-1.1573178072306771,-0.18044814485513117,-1.2484093493801363,-0.5953415095758001
2,0,0,2,-0.7171378302704404,5.666666666666667,0.3529411764705882,9.107806691449815,20.817843866171003,20.63197026022305,2,2,2,0,0,-2.856961913441476,-2.926149251892381,-0.15166542712294892,-0.05376734450578145,0.024104347462502826
