periode_data,id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,year,month,odp,proses_pemantauan,selesai_pemantauan,pdp,masih_dirawat,pulang_dan_sehat,positif,dirawat,sembuh,meninggal,self_isolation,odp_completion_rate,pdp_recovery_rate,case_fatality_rate,recovery_rate,active_case_rate,total_surveillance,composite_risk_index,severity_score,hospitalization_rate,kecamatan_avg_positif,kecamatan_avg_cfr
202005,3172021004,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,2020,5,14,1,13,10,3,7,10,3,2,2,3,0.9285714285714286,0.7,0.2,0.2,0.6,34,0.18335677917841822,0.22999999999999998,0.3,20.571,0.122
202005,3172011004,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,2020,5,27,0,27,4,0,4,16,9,1,1,5,1.0,1.0,0.0625,0.0625,0.875,47,0.243230795669359,0.21249999999999997,0.5625,14.0,0.112
202005,3175011006,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,UTAN KAYU SELATAN,2020,5,47,4,43,14,4,10,27,10,1,3,13,0.9148936170212766,0.7142857142857143,0.1111111111111111,0.037037037037037035,0.8518518518518519,88,0.1841443874336124,0.18888888888888888,0.37037037037037035,13.167,0.184
202005,3174051005,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,2020,5,11,0,11,7,3,4,16,6,2,2,6,1.0,0.5714285714285714,0.125,0.125,0.75,34,0.1644660228758972,0.19999999999999998,0.375,15.333,0.16
202005,3173071003,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KOTA BAMBU UTARA,2020,5,12,0,12,7,6,1,8,2,3,0,3,1.0,0.14285714285714285,0.0,0.375,0.625,27,0.07765430832927775,0.075,0.25,12.167,0.047
202005,3174101005,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,ULUJAMI,2020,5,10,0,10,5,2,3,14,4,2,3,5,1.0,0.6,0.21428571428571427,0.14285714285714285,0.6428571428571429,29,0.19504669095684332,0.2357142857142857,0.2857142857142857,12.8,0.219
202005,3175091001,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIRACAS,2020,5,29,0,29,14,5,9,18,8,3,3,4,1.0,0.6428571428571429,0.16666666666666666,0.16666666666666666,0.6666666666666666,61,0.20828279619116938,0.25,0.4444444444444444,8.4,0.073
202005,3172061002,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,2020,5,84,0,84,11,6,5,15,8,1,0,6,1.0,0.45454545454545453,0.0,0.06666666666666667,0.9333333333333333,110,0.2223207949617379,0.16,0.5333333333333333,29.667,0.067
202005,3173061003,DKI JAKARTA,JAKARTA BARAT,KALI DERES,TEGAL ALUR,2020,5,26,0,26,8,3,5,14,8,2,0,4,1.0,0.625,0.0,0.14285714285714285,0.8571428571428571,48,0.16764127269742748,0.1714285714285714,0.5714285714285714,19.2,0.071
202005,3173011006,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,2020,5,13,1,12,6,3,3,19,10,2,2,5,0.9230769230769231,0.5,0.10526315789473684,0.10526315789473684,0.7894736842105263,38,0.19496851381779426,0.23157894736842105,0.5263157894736842,12.5,0.1
